Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
0,1.5708,-3.14159,0.060813,-0.0338126,2.0271,-1.12709,0,0.128,-0.0395679,0,0,0,
0.03,1.57262,-3.14261,0.114398,-0.0625289,1.78617,-0.957209,-0.00194845,0.127999,-0.0734199,-0.000222899,0,0,
0.06,1.57605,-3.14448,0.114398,-0.0625293,-4.07387e-06,-1.28216e-05,-0.00338962,0.127988,-0.0734189,-0.000526838,0,0,
0.09,1.57948,-3.14636,0.114398,-0.0625303,-1.16075e-05,-3.65321e-05,-0.00559215,0.127967,-0.0734172,-0.000870266,0,0,
0.12,1.58292,-3.14823,0.114397,-0.0625322,-1.9141e-05,-6.02422e-05,-0.00779461,0.127936,-0.0734148,-0.00121369,0,0,
0.15,1.58635,-3.15011,0.114396,-0.0625347,-2.66744e-05,-8.39516e-05,-0.00999697,0.127894,-0.0734117,-0.0015571,0,0,
0.18,1.58978,-3.15199,0.114395,-0.0625379,-3.42077e-05,-0.00010766,-0.0121992,0.127842,-0.073408,-0.00190049,0,0,
0.21,1.59321,-3.15386,0.114394,-0.0625418,-4.17409e-05,-0.000131368,-0.0144014,0.12778,-0.0734036,-0.00224388,0,0,
0.24,1.59664,-3.15574,0.114393,-0.0625465,-4.9274e-05,-0.000155075,-0.0166033,0.127708,-0.0733985,-0.00258724,0,0,
0.27,1.60008,-3.15762,0.114391,-0.0625519,-5.6807e-05,-0.00017878,-0.0188051,0.127625,-0.0733927,-0.00293058,0,0,
0.3,1.60351,-3.15949,0.114389,-0.0625579,-6.43398e-05,-0.000202484,-0.0210067,0.127532,-0.0733862,-0.0032739,0,0,
0.33,1.60694,-3.16137,0.114387,-0.0625647,-7.18725e-05,-0.000226186,-0.0232081,0.127428,-0.0733791,-0.0036172,0,0,
0.36,1.61037,-3.16325,0.114384,-0.0625722,-7.94052e-05,-0.000249886,-0.0254093,0.127315,-0.0733713,-0.00396047,0,0,
0.39,1.6138,-3.16512,0.114382,-0.0625804,-8.69377e-05,-0.000273584,-0.0276102,0.127191,-0.0733627,-0.0043037,0,0,
0.42,1.61723,-3.167,0.114379,-0.0625893,-9.44701e-05,-0.000297281,-0.0298108,0.127057,-0.0733536,-0.0046469,0,0,
0.45,1.62067,-3.16888,0.114376,-0.062599,-0.000102002,-0.000320974,-0.0320111,0.126912,-0.0733437,-0.00499007,0,0,
0.48,1.6241,-3.17076,0.114373,-0.0626093,-0.000109535,-0.000344666,-0.0342112,0.126757,-0.0733331,-0.0053332,0,0,
0.51,1.62753,-3.17263,0.114369,-0.0626204,-0.000117067,-0.000368354,-0.0364108,0.126592,-0.0733219,-0.00567628,0,0,
0.54,1.63096,-3.17451,0.114365,-0.0626321,-0.000124599,-0.00039204,-0.0386102,0.126417,-0.07331,-0.00601932,0,0,
