Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
0,1.5708,-3.14159,0.0942641,-0.0390817,3.14214,-1.30272,0,0.128,-0.0488026,0,0,0
0.03,1.57362,-3.14277,0.0942716,-0.0390638,0.000250036,0.000597441,-0.00146407,0.127997,-0.0487864,-0.00019881,0,0
0.06,1.57645,-3.14394,0.0942788,-0.0390444,0.00023824,0.00064469,-0.00292765,0.127988,-0.0487681,-0.000397561,0,0
0.09,1.57928,-3.14511,0.0942925,-0.0390024,0.000458347,0.00140192,-0.00439067,0.127973,-0.0487287,-0.000596172,0,0
0.12,1.58211,-3.14628,0.0943057,-0.0389574,0.000437487,0.00149922,-0.0058525,0.127952,-0.0486858,-0.000794619,0,0
0.15,1.58494,-3.14745,0.0943246,-0.0388849,0.000630192,0.00241707,-0.00731303,0.127925,-0.048617,-0.000992732,0,0
0.18,1.58777,-3.14861,0.0943426,-0.0388081,0.000600375,0.00255853,-0.00877149,0.127893,-0.0485436,-0.00119053,0,0
0.21,1.5906,-3.14978,0.0943655,-0.0386995,0.000765935,0.00362118,-0.0102277,0.127854,-0.0484401,-0.00138774,0,0
0.24,1.59343,-3.15094,0.0996064,-0.0639567,0.174695,-0.841909,-0.0116809,0.127809,-0.0728447,-0.00196228,0,0
0.27,1.59642,-3.15286,0.0996115,-0.0638686,0.000171247,0.00293963,-0.0138661,0.127746,-0.0727553,-0.00224311,0,0
0.3,1.59941,-3.15477,0.0996161,-0.0637799,0.000153385,0.0029537,-0.0160486,0.127675,-0.0726645,-0.00252368,0,0
0.33,1.60239,-3.15669,0.0996256,-0.0635981,0.000315357,0.00606104,-0.0182284,0.127595,-0.0724858,-0.00280262,0,0
0.36,1.60538,-3.1586,0.0996342,-0.0634154,0.000286342,0.00609155,-0.0204029,0.127507,-0.0723052,-0.00308101,0,0
0.39,1.60837,-3.1605,0.0996466,-0.0631374,0.00041503,0.00926474,-0.0225719,0.12741,-0.0720348,-0.00335727,0,0
0.42,1.61136,-3.16239,0.0996623,-0.0627636,0.000521504,0.0124598,-0.0247327,0.127305,-0.0716738,-0.00363103,0,0
0.45,1.61435,-3.16427,0.0996805,-0.062294,0.000606469,0.0156533,-0.0268828,0.127192,-0.0712222,-0.00390188,0,0
0.48,1.61734,-3.16614,0.0997078,-0.0616476,0.000911966,0.0215483,-0.0290192,0.127071,-0.0706047,-0.00416793,0,0
0.51,1.62033,-3.16799,0.100656,-0.0618676,0.0315937,-0.00733255,-0.0311372,0.126941,-0.0709173,-0.00447955,0,0
0.54,1.62335,-3.16985,0.195057,-0.118244,3.14672,-1.87921,-0.0332644,0.126803,-0.13585,-0.0091892,0,0
0.57,1.6292,-3.1734,0.195047,-0.118275,-0.000351283,-0.00103751,-0.037339,0.126511,-0.135815,-0.0102404,0,0
0.6,1.63506,-3.17694,0.195035,-0.11831,-0.000395318,-0.00116755,-0.0414124,0.126188,-0.135776,-0.0112913,0,0
0.63,1.64091,-3.18049,0.19502,-0.118131,-0.000496828,0.00595798,-0.0454846,0.125834,-0.13553,-0.0123355,0,0
0.66,1.64676,-3.18404,0.195003,-0.117956,-0.00055461,0.00584785,-0.0495492,0.125448,-0.135279,-0.0133778,0,0
0.69,1.65261,-3.18758,0.194982,-0.117565,-0.000697897,0.0130326,-0.0536063,0.125031,-0.134819,-0.0144108,0,0
0.72,1.65846,-3.1911,0.194956,-0.116959,-0.000866935,0.0202155,-0.0576494,0.124583,-0.134149,-0.0154324,0,0
0.75,1.66431,-3.19461,0.194925,-0.116138,-0.00105887,0.0273548,-0.0616723,0.124105,-0.133271,-0.0164406,0,0
0.78,1.67015,-3.1981,0.194886,-0.115105,-0.00127173,0.034413,-0.0656689,0.123596,-0.132187,-0.0174333,0,0
0.81,1.676,-3.20155,0.194841,-0.113865,-0.00150261,0.0413526,-0.0696327,0.123057,-0.1309,-0.0184087,0,0
0.84,1.68185,-3.20497,0.194789,-0.112421,-0.00174787,0.0481362,-0.0735579,0.12249,-0.129415,-0.0193646,0,0
0.87,1.68769,-3.20834,0.194729,-0.110779,-0.00200645,0.0547361,-0.0774384,0.121893,-0.127737,-0.0202993,0,0
