Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.03,1.54679,0.100539,-0.198078,1.64063,-0.0866683,0.32664,1.64855,0.271676,0.308523,1.62466,0.327547,0.057893,1.44267,0.342779,-0.213922,
0.06,1.54716,0.100587,-0.198194,1.64091,-0.0867048,0.326537,1.64875,0.271683,0.308489,1.62503,0.327692,0.0580372,1.44279,0.343023,-0.213727,
0.09,1.54736,0.1006,-0.198257,1.64103,-0.0866875,0.326443,1.6489,0.27175,0.308475,1.62509,0.327747,0.0581115,1.44299,0.343572,-0.213711,
0.12,1.54764,0.100658,-0.198345,1.6413,-0.0867377,0.326415,1.64907,0.271738,0.308497,1.6253,0.32795,0.0581553,1.44239,0.343751,-0.213511,
0.15,1.54773,0.10067,-0.198398,1.6414,-0.086811,0.32633,1.64929,0.27178,0.30848,1.6254,0.32802,0.0581854,1.44227,0.343939,-0.213615,
0.18,1.5478,0.100674,-0.198413,1.64167,-0.0868837,0.32633,1.64932,0.27177,0.308474,1.62542,0.328041,0.0581872,1.44279,0.344447,-0.213236,
0.21,1.54802,0.100696,-0.198501,1.64192,-0.0868412,0.326238,1.6498,0.271834,0.308569,1.62582,0.328294,0.0584131,1.4423,0.345335,-0.213259,
0.24,1.54819,0.100693,-0.198539,1.64214,-0.0867962,0.326224,1.6501,0.271909,0.308604,1.62607,0.328471,0.0586773,1.44277,0.345681,-0.213162,
0.27,1.54839,0.100658,-0.198548,1.64246,-0.0868654,0.326294,1.65031,0.271938,0.308613,1.62632,0.328598,0.0588054,1.44327,0.345781,-0.213183,
0.3,1.5486,0.100692,-0.198621,1.64284,-0.0868714,0.326171,1.65057,0.271912,0.308548,1.6266,0.328712,0.0588582,1.44321,0.345338,-0.213435,
0.33,1.5489,0.100772,-0.198648,1.64331,-0.0868754,0.326075,1.6511,0.272047,0.308501,1.62704,0.328818,0.0588111,1.4437,0.345924,-0.213327,
0.36,1.54907,0.100807,-0.198655,1.64378,-0.0867003,0.326099,1.65147,0.272161,0.308542,1.62728,0.328914,0.0586858,1.44445,0.345713,-0.213641,
0.39,1.54929,0.100874,-0.198662,1.6441,-0.0868075,0.325992,1.65196,0.272191,0.308515,1.62751,0.328954,0.0585425,1.44523,0.346296,-0.213902,
0.42,1.54956,0.100962,-0.198687,1.64448,-0.0867797,0.325863,1.65244,0.272366,0.308441,1.62803,0.32908,0.0584836,1.44527,0.346182,-0.213965,
0.45,1.54964,0.101016,-0.198716,1.6448,-0.0865303,0.325813,1.65262,0.272461,0.308427,1.62826,0.329171,0.0583896,1.44578,0.346822,-0.213583,
0.48,1.54978,0.101105,-0.198747,1.64521,-0.0864447,0.325782,1.65281,0.27245,0.308271,1.62873,0.329319,0.0584361,1.4458,0.346903,-0.213741,
0.51,1.55,0.101343,-0.198778,1.6456,-0.0861299,0.325609,1.65318,0.272604,0.308216,1.62912,0.329511,0.0585318,1.44606,0.34709,-0.213843,
0.54,1.55013,0.101453,-0.198814,1.64596,-0.0860784,0.325451,1.65332,0.272597,0.308121,1.62943,0.329693,0.058536,1.44602,0.346949,-0.213748,
0.57,1.55022,0.101529,-0.198825,1.64625,-0.0859531,0.325364,1.65363,0.272734,0.307892,1.62969,0.329892,0.0584669,1.44557,0.346862,-0.213684,
0.6,1.55036,0.101721,-0.198834,1.64662,-0.0858243,0.325219,1.65404,0.27291,0.30783,1.62988,0.329991,0.0584752,1.44586,0.347039,-0.2136,
0.63,1.55042,0.101793,-0.198827,1.64684,-0.0857974,0.325172,1.65415,0.272907,0.307758,1.63013,0.330074,0.0586009,1.44481,0.346822,-0.213894,
0.66,1.55058,0.101943,-0.198823,1.64726,-0.0856317,0.325004,1.65478,0.27322,0.30764,1.63028,0.330214,0.0585939,1.44499,0.347161,-0.213652,
0.69,1.55066,0.102094,-0.198885,1.64764,-0.0854029,0.324825,1.65488,0.272933,0.307535,1.63041,0.330297,0.0584218,1.44478,0.347272,-0.213657,
0.72,1.55077,0.102267,-0.19893,1.64824,-0.085253,0.324588,1.65518,0.273029,0.307357,1.63086,0.330449,0.0585859,1.44531,0.347623,-0.213462,
0.75,1.55081,0.102355,-0.198956,1.64841,-0.0852256,0.324508,1.65542,0.273174,0.307203,1.63091,0.330492,0.0585554,1.44556,0.347631,-0.213677,
0.78,1.55089,0.102451,-0.19899,1.6487,-0.0851008,0.324363,1.65546,0.27317,0.307097,1.63101,0.33052,0.0585587,1.44585,0.34788,-0.213697,
0.81,1.55112,0.102612,-0.199043,1.64946,-0.0848865,0.324115,1.65601,0.273281,0.30692,1.63148,0.330687,0.0586057,1.44692,0.348565,-0.213983,
0.84,1.55126,0.102718,-0.19911,1.64989,-0.0847135,0.324032,1.65614,0.273312,0.306821,1.63177,0.330758,0.0587365,1.44739,0.348511,-0.213577,
0.87,1.55158,0.102886,-0.199209,1.65071,-0.0846735,0.323685,1.65652,0.273396,0.306657,1.63235,0.330921,0.058756,1.44796,0.348957,-0.213728,
0.9,1.55172,0.102966,-0.199229,1.65126,-0.0845842,0.323528,1.65682,0.273452,0.306515,1.63264,0.33099,0.0587434,1.44839,0.34946,-0.213959,
0.93,1.55202,0.103081,-0.199283,1.65154,-0.0844565,0.323505,1.65695,0.273419,0.306456,1.63288,0.33103,0.0587525,1.44862,0.349668,-0.213573,
