Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.06,1.67191,0.0774707,-0.226871,1.78522,-0.0994286,0.276439,1.79322,0.261809,0.25919,1.74723,0.30992,-0.00817773,1.55096,0.308273,-0.306129,
0.09,1.67202,0.0775023,-0.227054,1.78584,-0.0994449,0.276395,1.79331,0.262056,0.258976,1.7472,0.310022,-0.00819397,1.55189,0.309528,-0.305957,
0.12,1.6721,0.0774751,-0.227277,1.78599,-0.099274,0.276303,1.79327,0.262098,0.25886,1.74711,0.310114,-0.00809933,1.55089,0.310322,-0.305918,
0.15,1.67222,0.0774769,-0.227436,1.78632,-0.099132,0.276412,1.79334,0.262265,0.258724,1.74703,0.310202,-0.00798976,1.5514,0.310251,-0.305659,
0.18,1.67227,0.0773998,-0.227612,1.78643,-0.0989516,0.276374,1.79347,0.262411,0.258668,1.74691,0.310187,-0.00798053,1.54944,0.30872,-0.305772,
0.21,1.67232,0.0773301,-0.22773,1.78654,-0.0987312,0.276387,1.7936,0.262586,0.258527,1.74683,0.310052,-0.00782534,1.54862,0.305817,-0.305786,
0.24,1.67236,0.0771598,-0.227945,1.78656,-0.0986643,0.276319,1.7937,0.262669,0.258441,1.74659,0.30993,-0.0077621,1.54872,0.304116,-0.306121,
0.27,1.67234,0.0770845,-0.227995,1.78671,-0.0985582,0.276364,1.79391,0.26282,0.258266,1.74651,0.309763,-0.00747172,1.54963,0.301472,-0.306926,
0.3,1.67235,0.0770185,-0.228075,1.78693,-0.0985424,0.276444,1.79415,0.262994,0.25788,1.74652,0.309726,-0.00748063,1.55057,0.301458,-0.307948,
0.33,1.67238,0.076999,-0.228132,1.78701,-0.098539,0.27645,1.79439,0.263119,0.257748,1.74652,0.309618,-0.00746076,1.5503,0.301876,-0.307808,
0.36,1.67237,0.0769245,-0.228242,1.7871,-0.0985329,0.276414,1.79445,0.263172,0.257627,1.74648,0.309493,-0.00736866,1.54964,0.303097,-0.307061,
0.39,1.6724,0.0768272,-0.228502,1.78723,-0.0985296,0.276268,1.79453,0.263124,0.257506,1.74638,0.30929,-0.00734614,1.54936,0.303314,-0.306716,
