Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.09,1.55058,0.0660757,-0.197778,1.62589,-0.0937411,0.333505,1.65938,0.256024,0.30657,1.66544,0.32023,0.0637433,1.47907,0.402029,-0.231324,
0.12,1.55117,0.0589901,-0.198319,1.62855,-0.104986,0.333616,1.66279,0.247546,0.306071,1.66757,0.310866,0.0615979,1.47613,0.38865,-0.229667,
0.15,1.55157,0.0547934,-0.198785,1.62958,-0.110764,0.332895,1.66556,0.24146,0.306824,1.66912,0.305635,0.0610771,1.473,0.382635,-0.225706,
0.18,1.55145,0.0510118,-0.198994,1.63019,-0.115167,0.331955,1.66813,0.234844,0.306664,1.67064,0.299131,0.0612774,1.46835,0.373968,-0.220088,
0.21,1.55157,0.0453427,-0.200114,1.63122,-0.123945,0.330581,1.6712,0.225445,0.306237,1.67245,0.291219,0.0618854,1.46705,0.375026,-0.216569,
0.24,1.55168,0.0431129,-0.200711,1.63161,-0.127312,0.329703,1.67236,0.222167,0.305689,1.67267,0.288853,0.0624803,1.46769,0.378991,-0.217998,
0.27,1.55186,0.041606,-0.200994,1.6321,-0.129874,0.329019,1.67356,0.220702,0.305632,1.67283,0.287051,0.062934,1.47052,0.380281,-0.21585,
0.3,1.5524,0.0396576,-0.201338,1.63301,-0.132937,0.328371,1.6742,0.218675,0.305894,1.67294,0.285868,0.0632518,1.47459,0.386641,-0.2158,
0.33,1.55332,0.0376575,-0.201907,1.63531,-0.137919,0.327472,1.67466,0.216119,0.306313,1.6731,0.285251,0.0637727,1.4793,0.394447,-0.216234,
0.36,1.55393,0.0368401,-0.202305,1.63607,-0.139224,0.327205,1.67469,0.215297,0.306363,1.67289,0.284996,0.0640088,1.47838,0.396081,-0.215087,
0.39,1.55453,0.0365515,-0.202611,1.63717,-0.140746,0.326606,1.67472,0.214761,0.306505,1.67276,0.284889,0.06451,1.47992,0.399963,-0.215351,
0.42,1.55496,0.0363846,-0.202804,1.63773,-0.141281,0.326585,1.67459,0.214486,0.306543,1.67248,0.28508,0.0647686,1.47741,0.401618,-0.215781,
