Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
0,1.5708,-3.14159,-0.00407975,0.0979196,-0.135992,3.26399,0,0.128,0.0925666,0,0,0,
0.03,1.57067,-3.13866,-0.00696194,0.19495,-0.0960729,3.23436,0.00264628,0.128004,0.184144,0.00049747,0,0,
0.06,1.57047,-3.13281,-0.00966675,0.290186,-0.0901605,3.17451,0.00794746,0.128034,0.274002,0.00222941,0,0,
0.09,1.57018,-3.1241,-0.0134992,0.385452,-0.127747,3.17554,0.0158574,0.128134,0.364003,0.00589821,0,0,
0.12,1.56977,-3.11254,-0.0199705,0.48036,-0.215711,3.16361,0.0274398,0.128369,0.453925,0.0121065,0,0,
0.15,1.56917,-3.09813,-0.0288937,0.575005,-0.29744,3.15483,0.0410546,0.128821,0.543754,0.0214223,0,0,
0.18,1.5683,-3.08088,-0.0415844,0.669508,-0.423026,3.1501,0.0573613,0.12959,0.63366,0.0342365,0,0,
0.21,1.56706,-3.06079,-0.0597972,0.764127,-0.607093,3.15397,0.0763603,0.130782,0.723968,0.0507309,0,0,
0.24,1.56526,-3.03787,-0.0867813,0.858471,-0.89947,3.14479,0.0980617,0.132512,0.814575,0.0705997,0,0,
0.27,1.56266,-3.01211,-0.126707,0.952944,-1.33085,3.14912,0.122472,0.134876,0.906271,0.0929099,0,0,
0.3,1.55886,-2.98353,-0.189682,1.04722,-2.09918,3.14238,0.149623,0.137942,1.00006,0.114955,0,0,
0.33,1.55317,-2.95211,-0.272561,1.1415,-2.76262,3.14276,0.179577,0.141681,1.09582,0.13455,0,0,
0.36,1.54499,-2.91786,-0.283584,1.14536,-0.367423,0.12884,0.212393,0.145996,1.09702,0.151473,0,0,
0.39,1.53648,-2.8835,-0.293651,1.14825,-0.335586,0.0963352,0.245238,0.150809,1.09673,0.16751,0,0,
0.42,1.52767,-2.84906,-0.302976,1.15063,-0.310827,0.0792005,0.278068,0.156094,1.09542,0.182729,0,0,
0.45,1.51858,-2.81454,-0.309956,1.14834,-0.232656,-0.0764277,0.31085,0.161825,1.08908,0.196606,0,0,
0.48,1.50929,-2.78009,-0.316419,1.14512,-0.215461,-0.107383,0.343437,0.167963,1.08148,0.209426,0,0,
0.51,1.49979,-2.74573,-0.322449,1.14089,-0.200976,-0.140716,0.37579,0.174474,1.07261,0.221121,0,0,
0.54,1.49012,-2.71151,-0.32803,1.1356,-0.18605,-0.176435,0.407872,0.181326,1.06244,0.231646,0,0,
0.57,1.48028,-2.67744,-0.33315,1.12919,-0.170673,-0.213543,0.439645,0.188482,1.051,0.240963,0,0,
0.6,1.47028,-2.64356,-0.337841,1.1216,-0.156351,-0.253066,0.47107,0.195907,1.03828,0.249009,0,0,
0.63,1.46015,-2.60991,-0.342108,1.11272,-0.14223,-0.29605,0.50211,0.203561,1.02425,0.255709,0,0,
0.66,1.44989,-2.57653,-0.34591,1.10253,-0.126755,-0.339816,0.532727,0.211405,1.00895,0.261045,0,0,
0.69,1.43951,-2.54346,-0.349216,1.09103,-0.110187,-0.383311,0.562883,0.219397,0.992438,0.265013,0,0,
0.72,1.42903,-2.51073,-0.352022,1.07877,-0.0935271,-0.408492,0.592542,0.227497,0.975238,0.267846,0,0,
0.75,1.41847,-2.47836,-0.354317,1.06535,-0.0764962,-0.447277,0.621684,0.23567,0.957054,0.269395,0,0,
